Modelo;Descripcion;Cant;Categoria;Cod barras;FECHA;
IDS-7204HQHI-M1/T;DVR 4 Canales TURBOHD + 2 Canales IP / 5 Megapixel Lite - 3K Lite / Audio Bidireccional / ACUSENSE (Evista falsas alarmas) / 1 Bahía de Disco Duro / Salida de Video en Full HD;1;CCTV;;03/02/2026;
DS-7108NI-K1/W/M(C);NVR 4 Megapixel / 8 canales IP / 1 Bahía de Disco Duro / 2 Antenas Wi-Fi / Salida de Vídeo Full HD;1;CCTV;;03/02/2026;
DS-7208HGHI-M1/T;[Audio Bidireccional] DVR 8 Canales TurboHD + 2 Canales IP / 2 Megapixel (1080p) Lite / Acusense Lite (Evita Falsas Alarmas) / Audio por Coaxitron / 1 Bahia de Disco Duro / H.265+ / Salida de Vídeo Full HD;1;CCTV;;03/02/2026;
DVR-208G-M1/T;[Audio Bidireccional] DVR 8 Canales TurboHD + 2 Canal IP / 2 Megapixel (1080p) Lite / Acusense Lite (Evita Falsas Alarmas) / Audio por Coaxitron / 1 Bahia de Disco Duro / H.265+ / Salida de Vídeo Full HD;0;CCTV;;03/02/2026;
DVR-208G-M1/T;DVR 8 Canales TurboHD + 2 Canales IP / 2 Megapíxel (1080P) Lite / Acusense Lite (Evita Falsas Alarmas) / Audio por Coaxitron / 1 Bahía de Disco Duro / H.265+ / 1 Canal de Audio / Salida de Vídeo Full HD;1;CCTV;;03/02/2026;
DS-2FA1205-C8/K;Fuente de Poder Regulada 12 Vcc / 13.5 Vcc / 15 Vcc para 8 Cámaras / 8 Amperes (1 Amp por Salida) / Voltaje de Entrada 90 - 130 VCA / Filtro de Ruido para Cámaras 4K / Modo para Largas Distancias;1;CCTV;;03/02/2026;
DS-2FA1225-C4/K;Fuente de Poder Regulada 12 Vcc / 13.5 Vcc / 15 Vcc para 4 Cámaras / 4 Amp (1 Amp por Salida) / Voltaje de Entrada 90 - 130 VCA / Filtro de Ruido para Cámaras 4K / Modo para Largas Distancias;2;CCTV;;03/02/2026;
DS-KH2230T;"Monitor adicional 7"" para Videoportero TurboHD / Botónes Mecanicos / Compatible con DSKIS212 / DSKB2412TIM";1;CCTV;;03/02/2026;
DS-1280ZJ-DM55;Caja de Conexiones para Cámaras Domo / Uso en Exterior;4;CCTV;;03/02/2026;
DHI-MCVR5104-GCW;DAHUA MCVR5104GCW - DVR Móvil 4 canales HDCVI 1080p / 720p / Analógico 960H / GPS / 3G / WiFi / SATA 2.5 Pulgadas / UPS Interno;1;CCTV;;03/02/2026;
DH-DVR0404ME-U-GC;DAHUA DVR0404MEU- DVR MOVIL 4 CANALES DE VIDEO/ H264/ 120FPS/ TRANSMISION POR RED/ SISTEMA DE GPS/ 3G/INTERFAZ SATA 2.5;1;CCTV;;03/02/2026;
EPIDL6W;Reflector Empotrable / LUZ Fría / 6 W / 420 lúmenes / 50000 hrs / IP20;6;CCTV;;03/02/2026;
DS-1273ZJ-140-DM45;Montaje de Pared para Domos TURBOHD 4K / Uso en Exterior / Fabricados en Aluminio;2;CCTV;;03/02/2026;
DS-1275ZJ-S-SUS;Montaje de Poste para Cámaras DS-2CD26 / DS-2CD3656G2T-IZS(C) / Acero Inoxidable;1;CCTV;;03/02/2026;
DS-1280ZJ-M;Caja de Conexiones de Exterior con Tapa para Cámaras Tipo Eyeball y Turret / IP66;8;CCTV;;03/02/2026;
DS-2DE2C200IWG/W(W);[FlexVu] PT IP 2 Megapixel / Lente 4 mm / 30 mts IR / Exterior IP66 / Wi-Fi / dWDR / ACUSENSE Lite / Autoseguimiento / H.265+ / Micrófono y Bocina Interconstruido / Micro SD / Se Conecta Directo a la App de Hik-Connect / Montaje Techo o Pared;1;CCTV;;03/02/2026;
DS-K4H258-L/Z;Kit de montajes Z y L para Cerradura Magnética HIKVISION / Compatible con DS-K4H258S / Uso en Puerta de Madera y Metal;1;CCTV;;03/02/2026;
SUA-HAC-B20M-0280B;Cámara Tipo Bala de 2 Megapíxeles & 1080P/ Lente de 2.8 mm Con Apertura de Hasta 100°/ Iluminación IR Inteligente de Hasta 30m/ Para Exterior IP67/ Cámara Metálica/;12;CCTV;;03/02/2026;
SUA-XVR1E08-I;Video Grabador Dígital HDCVI/ Capacidad 8 Canales HDCVI + 2 Canales IP/ Conversión Hasta 10 Canales IP/ Codificación Hasta 1080N/ Entradas & Salidas de Audio/ Onvif/;4;CCTV;;03/02/2026;
SUA-XVR1E04-I;Video Grabador Dígital HDCVI/ Capacidad de 4 Canales HDCVI + 1 Canal IP/ Conversión Hasta 5 Canales IP/ Codificación Hasta 1080N/ Entradas & Salidas de Audio;1;CCTV;;03/02/2026;
DH-XVR1B04-I/T;DVR de 4 Canales 1080P LiteWizSense/HDCVI X Plus/4 Canales HDCVI +1 Canal IP/Audio Bidireccional en los 4 Canales/Detección d Movimient Inteligente/Conversión de Hasta 5 Canals IP;0;CCTV;;03/02/2026;
DH-XVR1B04H-I;DVR de 4 canales 5MP Lite con WizSense y H.265+. Soporta 4 canales + 2 IP, o hasta 6 canales IP. Con SMD Plus y búsqueda inteligente de humanos y vehículos;1;CCTV;;03/02/2026;
DH-XVR1B08-I/T;DVR de 8 Canales 1080P LiteWizSense/HDCVI X Plus/8 Canales HDCVI +2 Canal IP/Audio Bidireccional en los 8 Canales/Detección de Movimiento Inteligente/ Conversión de Hasta 10 Canales IP;0;CCTV;;03/02/2026;
DH-XVR1B08H-I; DVR de 8 canales 5MP Lite con WizSense y H.265+. Soporta 8 canales + 4 IP, o hasta 12 canales IP. Con SMD Plus y búsqueda inteligente de humanos y vehículos.;1;CCTV;;03/02/2026;
DH-XVR5104HS-I3;DVR de 5MP Lite con WizSense. Soporta 4 canales + 2 IP o hasta 6 canales IP. Reconocimiento facial y protección perimetral en 1 canal, incluye SDM Plus, codificación H.265+, y funciones para IoT & POS;1;CCTV;;03/02/2026;
DH-XVR5108HS-I3;DVR de 8 canales 5MP Lite, WizSense con IA, H.265+, 8 Canales Analogos + 4 IP o hasta 12 canales IP, 1 canal de reconocimiento facial, SMD Plus, 1 canal de protección perimetral y 1 bahía HDD #5MP;1;CCTV;;03/02/2026;
DH-PFS3006-4ET-36;Switch PoE de 6 Puertos Fast Ethernet/4 Puertos PoE 10/100/ 2 Puertos uplink 10/100/ 36 Watts Totales/ Switching 1.2 Gbps/ Tasa de Reenvio de Paquetes .89 Mbps/ con Protección de Descargas;2;CCTV;;03/02/2026;
DHI-XVR5108HS-4KL;DVR de 8 Canales 4k/ H.264/ 4 Canales IP Adicionales/ Maximo 12 Canales/ 1&1 E&S de Audio/ 1 Puerto Sata de 8 TB/ 1 HDMI&VGA/;0;CCTV;;03/02/2026;
DH-VTNS1060A;Switch 6 puertos / No administrable / CAT 5e / 24 VDC/ No incluye fuente;1;CCTV;;03/02/2026;
NVR1B04HS-4P;NVR 4 Canales IP / H265+ & H264+ / 4 Puertos PoE / Rendimiento 80 Mbps / HDMI / VGA / Puerto SATA 6TB/;1;CCTV;;03/02/2026;
DHI-NVR2104HS-P-I;NVR de 8 Megapixeles/ 4k/ 4 Canales IP/ WizSense/ 4 Puertos Poe/ H.265+/ 80 mbps/ HDMI y VGA/ 1 Canal con Reconocimiento Facial o 2 Canales con Protección Perimetral o 4 Canales con SMD/ 1 Sata de de Hasta 8TB/;1;;;03/02/2026;
DHI-NVR2104HS-P-I2;NVR DE 8 Megapixeles/ 4k/ 4 Canales IP/ WizSense/ 4 Puertos Poe/ H265+/ Rendimiento de 80 Mbps/ HDMI y VGA/ 1 Ch de Reconocimiento Facial/ Protección Perimetral/ SMD Plus/ 1 Bahía de Disco Duro de 10 TB/;1;;;03/02/2026;
SAX9604H; DVR 4 CANALES / FULL D1 960H / DDNS / SALIDA BNC / VGA / HDMI / 2 CANALES IP / AUDIO;1;;;03/02/2026;
GRP-2612W;"Teléfono IP Wi-Fi, Grado Operador, 4 líneas SIP con 2 cuentas, pantalla a color 2.4"", codec Opus, IPV4/IPV6 con gestión en la nube GDMS";4;;;03/02/2026;
GXP-1615;Teléfono IP SMB de 2 Líneas, 1 cuenta SIP con 3 teclas de función programables y conferencia de 3 vías. PoE;5;;;03/02/2026;
POE-230P-LFP;Mini UPS CC SKE POE-230P-LFP Color Negro, Interfaz USB y POE;24;;;03/02/2026;
